City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,kembe,4.6228,21.8865,21.08,95,92,1.07,CF,1727392144
339,egilsstadir,65.2653,-14.3948,2.37,99,100,2.11,IS,1727392145
340,nuuk,64.1835,-51.7216,6.34,75,61,4.12,GL,1727392146
341,irati,-25.4672,-50.6511,22.23,52,71,0.86,BR,1727392147
342,vada,51.97,5.6667,14.97,88,20,8.23,NL,1727392148
343,lospalos,-8.5186,127.0025,24.81,75,62,3.2,TL,1727392149
344,marshalltown,42.0494,-92.908,26.06,41,0,3.6,US,1727392150
345,hani,38.4167,40.4,20.57,32,1,3.28,TR,1727392151
346,kuqa,41.7278,82.9364,19.42,35,89,4.74,CN,1727392152
347,vung tau,10.346,107.0843,25.98,82,100,5.7,VN,1727392153
348,alotau,-10.3069,150.4462,29.0,69,60,2.1,PG,1727392156
349,ternate,0.8,127.4,27.09,78,93,0.92,ID,1727392157
350,longgang,37.6508,120.3286,19.71,60,13,3.84,CN,1727392158
351,odienne,9.51,-7.5692,22.77,93,100,0.17,CI,1727392159
352,labytnangi,66.6572,66.4183,1.64,96,100,3.25,RU,1727392160
353,buala,-8.145,159.5921,29.28,71,94,4.34,SB,1727392161
354,salaga,8.5508,-0.5188,23.78,94,98,1.94,GH,1727392162
355,khorixas,-20.3667,14.9667,25.14,23,23,1.53,NA,1727392163
356,sal rei,16.1833,-22.9167,26.6,84,99,3.15,CV,1727392165
357,hemsby,52.6971,1.6918,12.13,81,100,6.56,GB,1727392166
358,villamontes,-21.25,-63.5,14.89,68,100,2.73,BO,1727392167
359,weno,7.4515,151.8468,27.97,83,75,0.0,FM,1727392168
360,butere,0.2064,34.4935,17.5,86,95,2.54,KE,1727392169
361,nova vicosa,-17.8919,-39.3719,24.1,74,1,5.73,BR,1727392170
362,laayoune,27.1622,-13.2032,21.6,83,22,6.38,EH,1727392024
363,calvinia,-31.4707,19.776,12.09,54,100,1.15,ZA,1727392172
364,interlaken,36.9513,-121.7338,29.44,62,0,3.09,US,1727392173
365,hays,30.0502,-98.0336,31.05,35,0,5.53,US,1727392174
